1, basic_call_ext_int, completed, fail, Call Flow Failed, 2022-04-28, 1
2, basic_call_rw_tr, completed, fail, Call Flow Failed, 2022-04-28, 1
3, basic_call_int_rw, completed, fail, Call Flow Failed, 2022-04-28, 1
4, basic_call_ext_rw, completed, fail, Call Flow Failed, 2022-04-28, 1
5, basic_call_rw1_rw2, completed, fail, Call Flow Failed, 2022-04-28, 1
6, ext_rw_hold_resume_by_ext, completed, fail, Call Flow Failed, 2022-04-28, 1
7, ext_rw_hold_resume_by_rw, completed, fail, Call Flow Failed, 2022-04-28, 1
8, rw_int_hold_resume_by_rw, completed, fail, Call Flow Failed, 2022-04-28, 1
9, rw_int_hold_resume_by_int, completed, fail, Call Flow Failed, 2022-04-28, 1
10, ext_int_hold_resume_by_ext, completed, fail, Call Flow Failed, 2022-04-28, 1
1, basic_call_ext_int, completed, fail, Call Flow Failed, 2022-04-29, 1
2, basic_call_rw_tr, completed, pass, no_code, 2022-04-29, 1
3, basic_call_int_rw, completed, fail, Call Flow Failed, 2022-04-29, 1
4, basic_call_ext_rw, completed, pass, no_code, 2022-04-29, 1
5, basic_call_rw1_rw2, completed, fail, Call Flow Failed, 2022-04-29, 1
6, ext_rw_hold_resume_by_ext, completed, pass, no_code, 2022-04-29, 1
7, ext_rw_hold_resume_by_rw, completed, pass, no_code, 2022-04-29, 1
8, rw_int_hold_resume_by_rw, completed, fail, Call Flow Failed, 2022-04-29, 1
9, rw_int_hold_resume_by_int, completed, fail, Call Flow Failed, 2022-04-29, 1
10, ext_int_hold_resume_by_ext, completed, fail, Call Flow Failed, 2022-04-29, 1
1, basic_call_ext_int, completed, pass, no_code, 2022-04-29, 1
2, basic_call_rw_tr, completed, fail, Call Flow Failed, 2022-04-29, 1
3, basic_call_int_rw, completed, fail, Call Flow Failed, 2022-04-29, 1
4, basic_call_ext_rw, completed, fail, Call Flow Failed, 2022-04-29, 1
5, basic_call_rw1_rw2, completed, fail, Call Flow Failed, 2022-04-29, 1
6, ext_rw_hold_resume_by_ext, completed, fail, Call Flow Failed, 2022-04-29, 1
7, ext_rw_hold_resume_by_rw, completed, fail, Call Flow Failed, 2022-04-29, 1
8, rw_int_hold_resume_by_rw, completed, fail, Call Flow Failed, 2022-04-29, 1
9, rw_int_hold_resume_by_int, completed, fail, Call Flow Failed, 2022-04-29, 1
10, ext_int_hold_resume_by_ext, completed, pass, no_code, 2022-04-29, 1
1, basic_call_ext_int, completed, fail, Call Flow Failed, 2022-05-02, 1
2, basic_call_rw_tr, completed, fail, Call Flow Failed, 2022-05-02, 1
3, basic_call_int_rw, completed, fail, Call Flow Failed, 2022-05-02, 1
4, basic_call_ext_rw, completed, fail, Call Flow Failed, 2022-05-02, 1
5, basic_call_rw1_rw2, completed, fail, Call Flow Failed, 2022-05-02, 1
6, ext_rw_hold_resume_by_ext, completed, fail, Call Flow Failed, 2022-05-02, 1
7, ext_rw_hold_resume_by_rw, completed, fail, Call Flow Failed, 2022-05-02, 1
8, rw_int_hold_resume_by_rw, completed, fail, Call Flow Failed, 2022-05-02, 1
9, rw_int_hold_resume_by_int, completed, fail, Call Flow Failed, 2022-05-02, 1
10, ext_int_hold_resume_by_ext, completed, pass, no_code, 2022-05-02, 1
1, basic_call_ext_int, completed, fail, Call Flow Failed, 2022-05-02, 1
2, basic_call_rw_tr, completed, fail, Call Flow Failed, 2022-05-02, 1
3, basic_call_int_rw, completed, fail, Call Flow Failed, 2022-05-02, 1
4, basic_call_ext_rw, completed, fail, Call Flow Failed, 2022-05-02, 1
5, basic_call_rw1_rw2, completed, fail, Call Flow Failed, 2022-05-02, 1
6, ext_rw_hold_resume_by_ext, completed, fail, Call Flow Failed, 2022-05-02, 1
